Date,Week,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,ForecastDescription,ForecastTempLow,ForecastWindSpeed,Home_PlayerCount,Home_TotalExperience,Home_AvgAge,Home_AvgHeightIN,Away_PlayerCount,Away_TotalExperience,Away_AvgAge,Away_AvgHeightIN,HomeWin,Home_Week,Home_Team,Home_Opponent,Home_TeamScore,Home_OpponentScore,Home_IsHome,Home_AvgPointsScored_Last5,Home_AvgPointsAllowed_Last5,Home_RollingPointDiff_Last5,Home_Win,Home_RollingWinRate_Last5,Away_Week,Away_Team,Away_Opponent,Away_TeamScore,Away_OpponentScore,Away_IsHome,Away_AvgPointsScored_Last5,Away_AvgPointsAllowed_Last5,Away_RollingPointDiff_Last5,Away_Win,Away_RollingWinRate_Last5,ExperienceDiff,AgeDiff,HeightDiff,PlayerCountDiff,RollingPointDiff_Last5,RollingWinRateDiff_Last5
2025-09-11T20:15:00,2,WAS,GB,30,45,-5.0,Few Clouds,57,1,72,395,26,76,79,636,29,76,1,2,GB,WAS,45,30,1,45.0,22.0,23.0,1,1.0,2,WAS,GB,30,45,0,35.0,16.0,19.0,0,1.0,-241,-3,0,-7,4.0,0.0
2025-09-14T13:00:00,2,CLE,BAL,28,68,-20.7,Scattered Clouds,66,4,65,471,27,76,71,443,26,77,1,2,BAL,CLE,68,28,1,66.0,68.0,-2.0,1,0.0,2,CLE,BAL,28,68,0,27.0,28.0,-1.0,0,0.0,28,1,-1,-6,-1.0,0.0
2025-09-14T13:00:00,2,JAX,CIN,45,51,-5.8,Clear Sky,64,3,66,413,27,76,64,443,27,76,1,2,CIN,JAX,51,45,1,28.0,27.0,1.0,1,1.0,2,JAX,CIN,45,51,0,43.0,17.0,26.0,0,1.0,-30,0,0,2,-25.0,0.0
2025-09-14T13:00:00,2,NYG,DAL,61,66,-9.1,Scattered Clouds,79,6,69,445,26,75,79,543,27,76,1,2,DAL,NYG,66,61,1,33.0,40.0,-7.0,1,0.0,2,NYG,DAL,61,66,0,16.0,35.0,-19.0,0,0.0,-98,-1,-1,-10,12.0,0.0
2025-09-14T13:00:00,2,CHI,DET,35,86,-10.8,Clear Sky,60,4,76,545,27,77,68,484,27,77,1,2,DET,CHI,86,35,1,22.0,45.0,-23.0,1,0.0,2,CHI,DET,35,86,0,40.0,45.0,-5.0,0,0.0,61,0,0,8,-18.0,0.0
2025-09-14T13:00:00,2,NE,MIA,55,45,-4.1,Light Rain,77,6,71,447,27,76,66,406,26,76,0,2,MIA,NE,45,55,1,13.0,55.0,-42.0,0,0.0,2,NE,MIA,55,45,0,22.0,33.0,-11.0,1,0.0,41,1,0,5,-31.0,0.0
2025-09-14T13:00:00,2,SF,NO,43,35,8.2,Scattered Clouds,76,4,71,456,27,76,69,532,28,76,0,2,NO,SF,35,43,1,22.0,33.0,-11.0,0,0.0,2,SF,NO,43,35,0,28.0,22.0,6.0,1,1.0,-76,-1,0,2,-17.0,-1.0
2025-09-14T13:00:00,2,BUF,NYJ,50,17,15.1,Scattered Clouds,68,1,79,470,26,76,74,580,28,77,0,2,NYJ,BUF,17,50,1,53.0,56.0,-3.0,0,0.0,2,BUF,NYJ,50,17,0,68.0,66.0,2.0,1,1.0,-110,-2,-1,5,-5.0,-1.0
2025-09-14T13:00:00,2,SEA,PIT,51,28,-5.8,Clear Sky,64,4,70,541,28,76,67,410,26,76,0,2,PIT,SEA,28,51,1,56.0,53.0,3.0,0,1.0,2,SEA,PIT,51,28,0,22.0,28.0,-6.0,1,0.0,131,2,0,3,9.0,1.0
2025-09-14T13:00:00,2,LAR,TEN,55,31,15.1,Light Rain,69,2,72,459,27,77,63,417,27,76,0,2,TEN,LAR,31,55,1,20.0,33.0,-13.0,0,0.0,2,LAR,TEN,55,31,0,23.0,15.0,8.0,1,1.0,42,0,1,9,-21.0,-1.0
2025-09-14T16:05:00,2,CAR,ARI,36,45,-11.6,Clear Sky,82,4,83,534,27,77,73,507,27,76,1,2,ARI,CAR,45,36,1,33.0,22.0,11.0,1,1.0,2,CAR,ARI,36,45,0,17.0,43.0,-26.0,0,0.0,27,0,1,10,37.0,1.0
2025-09-14T16:05:00,2,DEN,IND,46,48,4.1,Clear Sky,66,5,73,490,27,77,66,462,27,77,1,2,IND,DEN,48,46,1,55.0,13.0,42.0,1,1.0,2,DEN,IND,46,48,0,33.0,20.0,13.0,0,1.0,28,0,0,7,29.0,0.0
2025-09-14T16:25:00,2,PHI,KC,33,28,4.1,Scattered Clouds,72,5,73,467,26,77,68,477,27,77,0,2,KC,PHI,28,33,1,35.0,45.0,-10.0,0,0.0,2,PHI,KC,33,28,0,40.0,33.0,7.0,1,1.0,-10,-1,0,5,-17.0,-1.0
2025-09-14T20:20:00,2,ATL,MIN,36,16,-5.0,Scattered Clouds,74,10,65,440,27,76,71,469,27,76,0,2,MIN,ATL,16,36,1,45.0,40.0,5.0,0,1.0,2,ATL,MIN,36,16,0,33.0,38.0,-5.0,1,0.0,-29,0,0,-6,10.0,1.0
2025-09-15T19:00:00,2,TB,HOU,33,31,-4.1,Scattered Clouds,76,4,75,516,27,77,67,465,27,76,0,2,HOU,TB,31,33,1,15.0,23.0,-8.0,0,0.0,2,TB,HOU,33,31,0,38.0,33.0,5.0,1,1.0,51,0,1,8,-13.0,-1.0
2025-09-15T22:00:00,2,LAC,LV,33,15,9.6,Clear Sky,83,2,68,433,27,76,68,472,27,76,0,2,LV,LAC,15,33,1,33.0,22.0,11.0,0,1.0,2,LAC,LV,33,15,0,45.0,35.0,10.0,1,1.0,-39,0,0,0,1.0,0.0
2025-09-18T20:15:00,3,MIA,BUF,35,51,-19.9,Scattered Clouds,61,4,74,580,28,77,71,447,27,76,1,3,BUF,MIA,51,35,1,59.0,41.5,17.5,1,1.0,3,MIA,BUF,35,51,0,29.0,55.0,-26.0,0,0.0,133,1,1,3,43.5,1.0
2025-09-21T13:00:00,3,ATL,CAR,0,50,12.4,Broken Clouds,65,6,73,507,27,76,71,469,27,76,1,3,CAR,ATL,50,0,1,26.5,44.0,-17.5,1,0.0,3,ATL,CAR,0,50,0,34.5,27.0,7.5,0,0.5,38,0,0,2,-25.0,-0.5
2025-09-21T13:00:00,3,GB,CLE,17,22,12.4,Broken Clouds,67,13,71,443,26,77,72,395,26,76,1,3,CLE,GB,22,17,1,27.5,48.0,-20.5,1,0.0,3,GB,CLE,17,22,0,45.0,26.0,19.0,0,1.0,48,0,1,-1,-39.5,-1.0
2025-09-21T13:00:00,3,HOU,JAX,17,28,-2.5,Scattered Clouds,73,3,64,443,27,76,75,516,27,77,1,3,JAX,HOU,28,17,1,44.0,34.0,10.0,1,0.5,3,HOU,JAX,17,28,0,23.0,28.0,-5.0,0,0.0,-73,0,-1,-11,15.0,0.5
2025-09-21T13:00:00,3,CIN,MIN,17,80,-5.0,Light Rain,64,4,65,440,27,76,66,413,27,76,1,3,MIN,CIN,80,17,1,30.5,38.0,-7.5,1,0.5,3,CIN,MIN,17,80,0,39.5,36.0,3.5,0,1.0,27,0,0,-1,-11.0,-0.5
2025-09-21T13:00:00,3,PIT,NE,35,23,1.4,Overcast Clouds,52,2,66,406,26,76,70,541,28,76,0,3,NE,PIT,23,35,1,38.5,39.0,-0.5,0,0.5,3,PIT,NE,35,23,0,42.0,52.0,-10.0,1,0.5,-135,-2,0,-4,9.5,0.0
2025-09-21T13:00:00,3,LAR,PHI,43,55,-5.8,Broken Clouds,57,3,68,477,27,77,63,417,27,76,1,3,PHI,LAR,55,43,1,36.5,30.5,6.0,1,1.0,3,LAR,PHI,43,55,0,39.0,23.0,16.0,0,1.0,60,0,1,5,-10.0,0.0
2025-09-21T13:00:00,3,NYJ,TB,45,48,-10.8,Scattered Clouds,76,8,67,465,27,76,79,470,26,76,1,3,TB,NYJ,48,45,1,35.5,32.0,3.5,1,1.0,3,NYJ,TB,45,48,0,35.0,53.0,-18.0,0,0.0,-5,1,0,-12,21.5,1.0
2025-09-21T13:00:00,3,IND,TEN,68,33,16.5,Overcast Clouds,68,8,72,459,27,77,73,490,27,77,0,3,TEN,IND,33,68,1,25.5,44.0,-18.5,0,0.0,3,IND,TEN,68,33,0,51.5,29.5,22.0,1,1.0,-31,0,0,-1,-40.5,-1.0
2025-09-21T13:00:00,3,LV,WAS,40,68,-5.0,Broken Clouds,63,4,79,636,29,76,68,433,27,76,1,3,WAS,LV,68,40,1,32.5,30.5,2.0,1,0.5,3,LV,WAS,40,68,0,24.0,27.5,-3.5,0,0.5,203,2,0,11,5.5,0.0
2025-09-21T16:05:00,3,DEN,LAC,33,38,-4.1,Scattered Clouds,69,5,68,472,27,76,66,462,27,77,1,3,LAC,DEN,38,33,1,39.0,25.0,14.0,1,1.0,3,DEN,LAC,33,38,0,39.5,34.0,5.5,0,0.5,10,0,-1,2,8.5,0.5
2025-09-21T16:05:00,3,NO,SEA,22,73,-11.6,Broken Clouds,58,2,67,410,26,76,71,456,27,76,1,3,SEA,NO,73,22,1,36.5,28.0,8.5,1,0.5,3,NO,SEA,22,73,0,28.5,38.0,-9.5,0,0.0,-46,-1,0,-4,18.0,0.5
2025-09-21T16:25:00,3,DAL,CHI,23,51,4.1,Overcast Clouds,68,4,68,484,27,77,69,445,26,75,1,3,CHI,DAL,51,23,1,37.5,65.5,-28.0,1,0.0,3,DAL,CHI,23,51,0,49.5,50.5,-1.0,0,0.5,39,1,2,-1,-27.0,-0.5
2025-09-21T16:25:00,3,ARI,SF,25,27,-2.5,Clear Sky,67,2,69,532,28,76,83,534,27,77,1,3,SF,ARI,27,25,1,35.5,28.5,7.0,1,1.0,3,ARI,SF,25,27,0,39.0,29.0,10.0,0,1.0,-2,1,-1,-14,-3.0,0.0
2025-09-21T20:20:00,3,KC,NYG,36,15,16.5,Clear Sky,57,4,79,543,27,76,73,467,26,77,0,3,NYG,KC,15,36,1,38.5,50.5,-12.0,0,0.0,3,KC,NYG,36,15,0,31.5,39.0,-7.5,1,0.0,76,1,-1,6,-4.5,0.0
2025-09-22T20:15:00,3,DET,BAL,63,50,-7.5,Broken Clouds,67,5,65,471,27,76,76,545,27,77,0,3,BAL,DET,50,63,1,67.0,48.0,19.0,0,0.5,3,DET,BAL,63,50,0,54.0,40.0,14.0,1,0.5,-74,0,-1,-11,5.0,0.0
2025-09-25T20:15:00,4,SEA,ARI,38,33,4.1,Scattered Clouds,80,10,83,534,27,77,67,410,26,76,0,4,ARI,SEA,33,38,1,34.333333333333336,28.333333333333332,6.0000000000000036,0,0.6666666666666666,4,SEA,ARI,38,33,0,48.666666666666664,26.0,22.666666666666664,1,0.6666666666666666,124,1,1,16,-16.66666666666666,0.0
2025-09-28T09:30:00,4,MIN,PIT,35,40,6.9,Broken Clouds,48,4,70,541,28,76,65,440,27,76,1,4,PIT,MIN,40,35,1,39.666666666666664,42.333333333333336,-2.6666666666666714,1,0.6666666666666666,4,MIN,PIT,35,40,0,47.0,31.0,16.0,0,0.6666666666666666,101,1,0,5,-18.66666666666667,0.0
2025-09-28T13:00:00,4,WAS,ATL,45,56,-4.1,Clear Sky,67,8,71,469,27,76,79,636,29,76,1,4,ATL,WAS,56,45,1,23.0,34.666666666666664,-11.666666666666664,1,0.3333333333333333,4,WAS,ATL,45,56,0,44.333333333333336,33.666666666666664,10.666666666666671,0,0.6666666666666666,-167,-2,0,-8,-22.333333333333336,-0.3333333333333333
2025-09-28T13:00:00,4,NO,BUF,31,51,-24.0,Clear Sky,57,4,74,580,28,77,71,456,27,76,1,4,BUF,NO,51,31,1,56.333333333333336,39.333333333333336,17.0,1,1.0,4,NO,BUF,31,51,0,26.333333333333332,49.666666666666664,-23.333333333333332,0,0.0,124,1,1,3,40.33333333333333,1.0
2025-09-28T13:00:00,4,CLE,DET,17,56,-16.6,Clear Sky,58,4,76,545,27,77,71,443,26,77,1,4,DET,CLE,56,17,1,57.0,43.333333333333336,13.666666666666664,1,0.6666666666666666,4,CLE,DET,17,56,0,25.666666666666668,37.666666666666664,-11.999999999999996,0,0.3333333333333333,102,1,0,5,25.66666666666666,0.3333333333333333
2025-09-28T13:00:00,4,TEN,HOU,0,43,-12.4,Broken Clouds,70,3,75,516,27,77,72,459,27,77,1,4,HOU,TEN,43,0,1,21.0,28.0,-7.0,1,0.0,4,TEN,HOU,0,43,0,28.0,52.0,-24.0,0,0.0,57,0,0,3,17.0,0.0
2025-09-28T13:00:00,4,CAR,NE,22,70,-9.1,Clear Sky,63,5,66,406,26,76,73,507,27,76,1,4,NE,CAR,70,22,1,33.333333333333336,37.666666666666664,-4.333333333333329,1,0.3333333333333333,4,CAR,NE,22,70,0,34.333333333333336,29.333333333333332,5.0000000000000036,0,0.3333333333333333,-101,-1,0,-7,-9.333333333333332,0.0
2025-09-28T13:00:00,4,LAC,NYG,30,35,16.5,Few Clouds,68,5,79,543,27,76,68,472,27,76,1,4,NYG,LAC,35,30,1,30.666666666666668,45.666666666666664,-14.999999999999996,1,0.0,4,LAC,NYG,30,35,0,38.666666666666664,27.666666666666668,10.999999999999996,0,1.0,71,0,0,11,-25.999999999999993,-1.0
2025-09-28T13:00:00,4,PHI,TB,51,41,9.6,Clear Sky,74,10,67,465,27,76,68,477,27,77,0,4,TB,PHI,41,51,1,39.666666666666664,36.333333333333336,3.3333333333333286,0,1.0,4,PHI,TB,51,41,0,42.666666666666664,34.666666666666664,8.0,1,1.0,-12,0,-1,-1,-4.666666666666671,0.0
2025-09-28T16:05:00,4,IND,LAR,33,45,-5.8,Clear Sky,68,5,63,417,27,76,73,490,27,77,1,4,LAR,IND,45,33,1,40.333333333333336,33.666666666666664,6.666666666666671,1,0.6666666666666666,4,IND,LAR,33,45,0,57.0,30.666666666666668,26.333333333333332,0,1.0,-73,0,-1,-10,-19.66666666666666,-0.33333333333333337
2025-09-28T16:05:00,4,JAX,SF,43,35,-5.8,Overcast Clouds,65,5,69,532,28,76,64,443,27,76,0,4,SF,JAX,35,43,1,32.666666666666664,27.333333333333332,5.333333333333332,0,1.0,4,JAX,SF,43,35,0,38.666666666666664,28.333333333333332,10.333333333333332,1,0.6666666666666666,89,1,0,5,-5.0,0.33333333333333337
2025-09-28T16:25:00,4,BAL,KC,33,61,6.9,Clear Sky,68,7,73,467,26,77,65,471,27,76,1,4,KC,BAL,61,33,1,33.0,31.0,2.0,1,0.3333333333333333,4,BAL,KC,33,61,0,61.333333333333336,53.0,8.333333333333336,0,0.3333333333333333,-4,-1,1,8,-6.333333333333336,0.0
2025-09-28T16:25:00,4,CHI,LV,41,40,-2.5,Scattered Clouds,71,4,68,433,27,76,68,484,27,77,0,4,LV,CHI,40,41,1,29.333333333333332,41.0,-11.666666666666668,0,0.3333333333333333,4,CHI,LV,41,40,0,42.0,51.333333333333336,-9.333333333333336,1,0.3333333333333333,-51,0,-1,0,-2.333333333333332,0.0
2025-09-28T20:20:00,4,GB,DAL,66,66,10.8,Scattered Clouds,69,5,69,445,26,75,72,395,26,76,0,4,DAL,GB,66,66,1,40.666666666666664,50.666666666666664,-10.0,0,0.3333333333333333,4,GB,DAL,66,66,0,35.666666666666664,24.666666666666668,10.999999999999996,0,0.6666666666666666,50,0,-1,-3,-20.999999999999996,-0.3333333333333333
2025-09-29T19:15:00,4,NYJ,MIA,35,45,-4.1,Broken Clouds,77,13,71,447,27,76,79,470,26,76,1,4,MIA,NYJ,45,35,1,31.0,53.666666666666664,-22.666666666666664,1,0.0,4,NYJ,MIA,35,45,0,38.333333333333336,51.333333333333336,-13.0,0,0.0,-23,1,0,-8,-9.666666666666664,0.0
2025-09-29T20:15:00,4,CIN,DEN,8,46,-12.4,Overcast Clouds,54,4,66,462,27,77,66,413,27,76,1,4,DEN,CIN,46,8,1,37.333333333333336,35.333333333333336,2.0,1,0.3333333333333333,4,CIN,DEN,8,46,0,32.0,50.666666666666664,-18.666666666666664,0,0.6666666666666666,49,0,1,0,20.666666666666664,-0.3333333333333333
2025-10-02T20:15:00,5,SF,LAR,43,38,-14.1,Scattered Clouds,67,6,63,417,27,76,69,532,28,76,0,5,LAR,SF,38,43,1,41.5,33.5,8.0,0,0.75,5,SF,LAR,43,38,0,33.25,31.25,2.0,1,0.75,-115,-1,0,-6,6.0,0.0
2025-10-05T09:30:00,5,MIN,CLE,35,28,9.6,Overcast Clouds,52,8,71,443,26,77,65,440,27,76,0,5,CLE,MIN,28,35,1,23.5,42.25,-18.75,0,0.25,5,MIN,CLE,35,28,0,44.0,33.25,10.75,1,0.5,3,-1,1,6,-29.5,-0.25
2025-10-05T13:00:00,5,HOU,BAL,73,17,6.9,Clear Sky,59,3,65,471,27,76,75,516,27,77,0,5,BAL,HOU,17,73,1,54.25,55.0,-0.75,0,0.25,5,HOU,BAL,73,17,0,26.5,21.0,5.5,1,0.25,-45,0,-1,-10,-6.25,0.0
2025-10-05T13:00:00,5,MIA,CAR,40,45,2.7,Broken Clouds,63,3,73,507,27,76,71,447,27,76,1,5,CAR,MIA,45,40,1,31.25,39.5,-8.25,1,0.25,5,MIA,CAR,40,45,0,34.5,49.0,-14.5,0,0.25,60,0,0,2,6.25,0.0
2025-10-05T13:00:00,5,LV,IND,16,66,-12.4,Clear Sky,62,6,73,490,27,77,68,433,27,76,1,5,IND,LV,66,16,1,51.0,34.25,16.75,1,0.75,5,LV,IND,16,66,0,32.0,41.0,-9.0,0,0.25,57,0,1,5,25.75,0.5
2025-10-05T13:00:00,5,NYG,NO,23,43,-4.1,Broken Clouds,74,7,71,456,27,76,79,543,27,76,1,5,NO,NYG,43,23,1,27.5,50.0,-22.5,1,0.0,5,NYG,NO,23,43,0,31.75,41.75,-10.0,0,0.25,-87,0,0,-8,-12.5,-0.25
2025-10-05T13:00:00,5,DAL,NYJ,61,36,-2.5,Clear Sky,61,5,79,470,26,76,69,445,26,75,0,5,NYJ,DAL,36,61,1,37.5,49.75,-12.25,0,0.0,5,DAL,NYJ,61,36,0,47.0,54.5,-7.5,1,0.25,25,0,1,10,-4.75,-0.25
2025-10-05T13:00:00,5,DEN,PHI,35,28,-6.6,Clear Sky,60,4,68,477,27,77,66,462,27,77,0,5,PHI,DEN,28,35,1,44.75,36.25,8.5,0,1.0,5,DEN,PHI,35,28,0,39.5,28.5,11.0,1,0.5,15,0,0,2,-2.5,0.5
2025-10-05T16:05:00,5,TEN,ARI,36,35,-12.4,Clear Sky,72,4,83,534,27,77,72,459,27,77,0,5,ARI,TEN,35,36,1,34.0,30.75,3.25,0,0.5,5,TEN,ARI,36,35,0,21.0,49.75,-28.75,1,0.0,75,0,0,11,32.0,0.5
2025-10-05T16:05:00,5,TB,SEA,63,58,-5.8,Clear Sky,51,4,67,410,26,76,67,465,27,76,0,5,SEA,TB,58,63,1,46.0,27.75,18.25,0,0.75,5,TB,SEA,63,58,0,40.0,40.0,0.0,1,0.75,-55,-1,0,0,18.25,0.0
2025-10-05T16:25:00,5,DET,CIN,61,40,15.7,Clear Sky,62,4,66,413,27,76,76,545,27,77,0,5,CIN,DET,40,61,1,26.0,49.5,-23.5,0,0.5,5,DET,CIN,61,40,0,56.75,36.75,20.0,1,0.75,-132,0,-1,-10,-43.5,-0.25
2025-10-05T16:25:00,5,WAS,LAC,45,17,-5.0,Clear Sky,63,4,68,472,27,76,79,636,29,76,0,5,LAC,WAS,17,45,1,36.5,29.5,7.0,0,0.75,5,WAS,LAC,45,17,0,44.5,39.25,5.25,1,0.5,-164,-2,0,-11,1.75,0.25
2025-10-05T20:20:00,5,NE,BUF,38,33,-12.4,Clear Sky,61,8,74,580,28,77,66,406,26,76,0,5,BUF,NE,33,38,1,55.0,37.25,17.75,0,1.0,5,NE,BUF,38,33,0,42.5,33.75,8.75,1,0.5,174,2,1,8,9.0,0.5
2025-10-06T20:15:00,5,KC,JAX,46,51,9.6,Light Rain,75,6,64,443,27,76,73,467,26,77,1,5,JAX,KC,51,46,1,39.75,30.0,9.75,1,0.75,5,KC,JAX,46,51,0,40.0,31.5,8.5,0,0.5,-24,1,-1,-9,1.25,0.25
2025-10-09T20:15:00,6,PHI,NYG,28,56,12.4,Clear Sky,50,5,79,543,27,76,68,477,27,77,1,6,NYG,PHI,56,28,1,30.0,42.0,-12.0,1,0.2,6,PHI,NYG,28,56,0,41.4,36.0,5.399999999999999,0,0.8,66,0,-1,11,-17.4,-0.6000000000000001
2025-10-12T09:30:00,6,DEN,NYJ,22,18,11.6,Overcast Clouds,55,6,79,470,26,76,66,462,27,77,0,6,NYJ,DEN,18,22,1,37.2,52.0,-14.799999999999997,0,0.0,6,DEN,NYJ,22,18,0,38.6,28.4,10.200000000000003,1,0.6,8,-1,-1,13,-25.0,-0.6
